2026-05-01T13:04:28.401Z | INFO     | CONNECTION_ACCEPTED | Client connected | {'request_id': 'req_0001', 'addr': '127.0.0.1'}
2026-05-01T13:04:28.401Z | INFO     | AUTH_SUCCESS | Client authenticated | {'request_id': 'req_0001'}
2026-05-01T13:04:28.401Z | INFO     | RUN_INIT | Client synced run_id | {'request_id': 'req_0001', 'run_id': 'run_20260501_183420'}
2026-05-01T13:04:31.547Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0001', 'filename': 'run_20260501_183420_img_0001.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0001.jpg', 'mode': 'INFERENCE', 'size': 147482, 'duration_ms': 17.3}
2026-05-01T13:04:31.547Z | INFO     | PROCESSING_TIME | 17.3 ms | None
2026-05-01T13:04:31.661Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0002', 'filename': 'run_20260501_183420_img_0002.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0002.jpg', 'mode': 'INFERENCE', 'size': 132109, 'duration_ms': 9.54}
2026-05-01T13:04:31.661Z | INFO     | PROCESSING_TIME | 9.54 ms | None
2026-05-01T13:04:31.692Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0003', 'filename': 'run_20260501_183420_img_0003.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0003.jpg', 'mode': 'INFERENCE', 'size': 114525, 'duration_ms': 8.52}
2026-05-01T13:04:31.692Z | INFO     | PROCESSING_TIME | 9.52 ms | None
2026-05-01T13:04:31.723Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0004', 'filename': 'run_20260501_183420_img_0004.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0004.jpg', 'mode': 'INFERENCE', 'size': 88573, 'duration_ms': 11.42}
2026-05-01T13:04:31.723Z | INFO     | PROCESSING_TIME | 12.41 ms | None
2026-05-01T13:04:31.760Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0005', 'filename': 'run_20260501_183420_img_0005.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0005.jpg', 'mode': 'INFERENCE', 'size': 115384, 'duration_ms': 13.18}
2026-05-01T13:04:31.760Z | INFO     | PROCESSING_TIME | 13.18 ms | None
2026-05-01T13:04:31.793Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0006', 'filename': 'run_20260501_183420_img_0006.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0006.jpg', 'mode': 'INFERENCE', 'size': 112994, 'duration_ms': 10.16}
2026-05-01T13:04:31.793Z | INFO     | PROCESSING_TIME | 10.16 ms | None
2026-05-01T13:04:31.830Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0007', 'filename': 'run_20260501_183420_img_0007.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0007.jpg', 'mode': 'INFERENCE', 'size': 132789, 'duration_ms': 10.25}
2026-05-01T13:04:31.830Z | INFO     | PROCESSING_TIME | 10.25 ms | None
2026-05-01T13:04:31.862Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0008', 'filename': 'run_20260501_183420_img_0008.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0008.jpg', 'mode': 'INFERENCE', 'size': 126064, 'duration_ms': 11.6}
2026-05-01T13:04:31.862Z | INFO     | PROCESSING_TIME | 11.6 ms | None
2026-05-01T13:04:31.898Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0009', 'filename': 'run_20260501_183420_img_0009.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0009.jpg', 'mode': 'INFERENCE', 'size': 117925, 'duration_ms': 10.11}
2026-05-01T13:04:31.898Z | INFO     | PROCESSING_TIME | 10.11 ms | None
2026-05-01T13:04:31.931Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0010', 'filename': 'run_20260501_183420_img_0010.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0010.jpg', 'mode': 'INFERENCE', 'size': 105328, 'duration_ms': 10.35}
2026-05-01T13:04:31.932Z | INFO     | PROCESSING_TIME | 11.32 ms | None
2026-05-01T13:04:31.965Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0011', 'filename': 'run_20260501_183420_img_0011.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0011.jpg', 'mode': 'INFERENCE', 'size': 109947, 'duration_ms': 15.26}
2026-05-01T13:04:31.966Z | INFO     | PROCESSING_TIME | 16.26 ms | None
2026-05-01T13:04:31.996Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0012', 'filename': 'run_20260501_183420_img_0012.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0012.jpg', 'mode': 'INFERENCE', 'size': 82301, 'duration_ms': 11.63}
2026-05-01T13:04:31.998Z | INFO     | PROCESSING_TIME | 12.96 ms | None
2026-05-01T13:04:32.025Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0013', 'filename': 'run_20260501_183420_img_0013.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0013.jpg', 'mode': 'INFERENCE', 'size': 52871, 'duration_ms': 10.31}
2026-05-01T13:04:32.025Z | INFO     | PROCESSING_TIME | 10.31 ms | None
2026-05-01T13:04:32.053Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0014', 'filename': 'run_20260501_183420_img_0014.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0014.jpg', 'mode': 'INFERENCE', 'size': 78770, 'duration_ms': 10.89}
2026-05-01T13:04:32.054Z | INFO     | PROCESSING_TIME | 11.89 ms | None
2026-05-01T13:04:32.082Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0015', 'filename': 'run_20260501_183420_img_0015.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0015.jpg', 'mode': 'INFERENCE', 'size': 81403, 'duration_ms': 11.59}
2026-05-01T13:04:32.082Z | INFO     | PROCESSING_TIME | 11.59 ms | None
2026-05-01T13:04:32.109Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0016', 'filename': 'run_20260501_183420_img_0016.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0016.jpg', 'mode': 'INFERENCE', 'size': 79726, 'duration_ms': 10.69}
2026-05-01T13:04:32.110Z | INFO     | PROCESSING_TIME | 11.69 ms | None
2026-05-01T13:04:32.138Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0017', 'filename': 'run_20260501_183420_img_0017.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0017.jpg', 'mode': 'INFERENCE', 'size': 78232, 'duration_ms': 12.22}
2026-05-01T13:04:32.139Z | INFO     | PROCESSING_TIME | 12.97 ms | None
2026-05-01T13:04:32.168Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0018', 'filename': 'run_20260501_183420_img_0018.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0018.jpg', 'mode': 'INFERENCE', 'size': 69753, 'duration_ms': 11.49}
2026-05-01T13:04:32.168Z | INFO     | PROCESSING_TIME | 11.49 ms | None
2026-05-01T13:04:32.193Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0019', 'filename': 'run_20260501_183420_img_0019.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0019.jpg', 'mode': 'INFERENCE', 'size': 84336, 'duration_ms': 12.22}
2026-05-01T13:04:32.193Z | INFO     | PROCESSING_TIME | 12.22 ms | None
2026-05-01T13:04:32.220Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0020', 'filename': 'run_20260501_183420_img_0020.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0020.jpg', 'mode': 'INFERENCE', 'size': 86687, 'duration_ms': 9.06}
2026-05-01T13:04:32.221Z | INFO     | PROCESSING_TIME | 10.06 ms | None
2026-05-01T13:04:32.247Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0021', 'filename': 'run_20260501_183420_img_0021.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0021.jpg', 'mode': 'INFERENCE', 'size': 78044, 'duration_ms': 11.4}
2026-05-01T13:04:32.249Z | INFO     | PROCESSING_TIME | 13.4 ms | None
2026-05-01T13:04:32.277Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0022', 'filename': 'run_20260501_183420_img_0022.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0022.jpg', 'mode': 'INFERENCE', 'size': 87972, 'duration_ms': 13.11}
2026-05-01T13:04:32.277Z | INFO     | PROCESSING_TIME | 13.11 ms | None
2026-05-01T13:04:32.300Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0023', 'filename': 'run_20260501_183420_img_0023.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0023.jpg', 'mode': 'INFERENCE', 'size': 84083, 'duration_ms': 8.64}
2026-05-01T13:04:32.301Z | INFO     | PROCESSING_TIME | 9.64 ms | None
2026-05-01T13:04:32.329Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0024', 'filename': 'run_20260501_183420_img_0024.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0024.jpg', 'mode': 'INFERENCE', 'size': 85144, 'duration_ms': 9.12}
2026-05-01T13:04:32.329Z | INFO     | PROCESSING_TIME | 9.12 ms | None
2026-05-01T13:04:32.354Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0025', 'filename': 'run_20260501_183420_img_0025.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0025.jpg', 'mode': 'INFERENCE', 'size': 87230, 'duration_ms': 9.57}
2026-05-01T13:04:32.354Z | INFO     | PROCESSING_TIME | 9.57 ms | None
2026-05-01T13:04:32.379Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0026', 'filename': 'run_20260501_183420_img_0026.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0026.jpg', 'mode': 'INFERENCE', 'size': 84534, 'duration_ms': 9.58}
2026-05-01T13:04:32.379Z | INFO     | PROCESSING_TIME | 9.58 ms | None
2026-05-01T13:04:32.412Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0027', 'filename': 'run_20260501_183420_img_0027.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0027.jpg', 'mode': 'INFERENCE', 'size': 104082, 'duration_ms': 13.44}
2026-05-01T13:04:32.413Z | INFO     | PROCESSING_TIME | 14.45 ms | None
2026-05-01T13:04:32.452Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0028', 'filename': 'run_20260501_183420_img_0028.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0028.jpg', 'mode': 'INFERENCE', 'size': 115806, 'duration_ms': 11.19}
2026-05-01T13:04:32.452Z | INFO     | PROCESSING_TIME | 11.19 ms | None
2026-05-01T13:04:32.488Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0029', 'filename': 'run_20260501_183420_img_0029.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0029.jpg', 'mode': 'INFERENCE', 'size': 120451, 'duration_ms': 4.0}
2026-05-01T13:04:32.488Z | INFO     | PROCESSING_TIME | 4.0 ms | None
2026-05-01T13:04:32.531Z | INFO     | IMAGE_PROCESS_SUCCESS | Image stored successfully | {'request_id': 'req_0001', 'image_id': 'run_20260501_183420_img_0030', 'filename': 'run_20260501_183420_img_0030.jpg', 'path': 'runs\\run_20260501_183420\\images\\run_20260501_183420_img_0030.jpg', 'mode': 'INFERENCE', 'size': 124732, 'duration_ms': 7.94}
2026-05-01T13:04:32.531Z | INFO     | PROCESSING_TIME | 7.94 ms | None
2026-05-01T13:04:47.048Z | INFO     | CSV_RECEIVED | Client metrics CSV saved | {'request_id': 'req_0001', 'file': 'data\\client_metrics\\run_20260501_183420_network-delay.csv'}
2026-05-01T13:04:47.049Z | INFO     | DISCONNECT | Client disconnected or send invalid message | {'request_id': 'req_0001', 'error': 'Connection lost during recv'}
2026-05-01T13:04:47.049Z | INFO     | CONNECTION_CLOSED | Connection cleanup complete | {'request_id': 'req_0001', 'duration_sec': 18.65}
