image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_195720_img_0001,1,0,0,0,1,0.0,0.0,0.0
run_20260501_195720_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_195720_img_0003,67,15,12,3,55,0.8,0.1791,0.2927
run_20260501_195720_img_0004,27,3,2,1,25,0.6667,0.0741,0.1333
run_20260501_195720_img_0005,38,16,14,2,24,0.875,0.3684,0.5185
run_20260501_195720_img_0006,34,12,8,4,26,0.6667,0.2353,0.3478
run_20260501_195720_img_0007,37,0,0,0,37,0.0,0.0,0.0
run_20260501_195720_img_0008,27,11,7,4,20,0.6364,0.2593,0.3684
run_20260501_195720_img_0009,56,15,14,1,42,0.9333,0.25,0.3944
run_20260501_195720_img_0010,15,7,7,0,8,1.0,0.4667,0.6364
run_20260501_195720_img_0011,46,8,7,1,39,0.875,0.1522,0.2593
run_20260501_195720_img_0012,10,6,4,2,6,0.6667,0.4,0.5
run_20260501_195720_img_0013,66,54,40,14,26,0.7407,0.6061,0.6667
run_20260501_195720_img_0014,266,46,25,21,241,0.5435,0.094,0.1603
run_20260501_195720_img_0015,93,36,24,12,69,0.6667,0.2581,0.3721
run_20260501_195720_img_0016,42,15,14,1,28,0.9333,0.3333,0.4912
run_20260501_195720_img_0017,50,23,15,8,35,0.6522,0.3,0.411
run_20260501_195720_img_0018,42,18,16,2,26,0.8889,0.381,0.5333
run_20260501_195720_img_0019,28,15,15,0,13,1.0,0.5357,0.6977
run_20260501_195720_img_0020,55,18,15,3,40,0.8333,0.2727,0.411
run_20260501_195720_img_0021,119,38,34,4,85,0.8947,0.2857,0.4331
run_20260501_195720_img_0022,73,35,24,11,49,0.6857,0.3288,0.4444
run_20260501_195720_img_0023,91,31,28,3,63,0.9032,0.3077,0.459
run_20260501_195720_img_0024,177,42,38,4,139,0.9048,0.2147,0.347
run_20260501_195720_img_0025,115,42,31,11,84,0.7381,0.2696,0.3949
run_20260501_195720_img_0026,163,38,32,6,131,0.8421,0.1963,0.3184
run_20260501_195720_img_0027,262,30,20,10,242,0.6667,0.0763,0.137
run_20260501_195720_img_0028,64,4,4,0,60,1.0,0.0625,0.1176
run_20260501_195720_img_0029,115,13,11,2,104,0.8462,0.0957,0.1719
run_20260501_195720_img_0030,99,22,14,8,85,0.6364,0.1414,0.2314
run_20260501_195720_img_0031,114,21,12,9,102,0.5714,0.1053,0.1778
run_20260501_195720_img_0032,80,12,11,1,69,0.9167,0.1375,0.2391
run_20260501_195720_img_0033,90,11,9,2,81,0.8182,0.1,0.1782
run_20260501_195720_img_0034,104,7,7,0,97,1.0,0.0673,0.1261
run_20260501_195720_img_0035,66,10,6,4,60,0.6,0.0909,0.1579
run_20260501_195720_img_0036,82,7,4,3,78,0.5714,0.0488,0.0899
run_20260501_195720_img_0037,80,21,19,2,61,0.9048,0.2375,0.3762
run_20260501_195720_img_0038,73,8,6,2,67,0.75,0.0822,0.1481
run_20260501_195720_img_0039,107,16,13,3,94,0.8125,0.1215,0.2114
run_20260501_195720_img_0040,138,10,8,2,130,0.8,0.058,0.1081
run_20260501_195720_img_0041,77,17,10,7,67,0.5882,0.1299,0.2128
run_20260501_195720_img_0042,19,13,7,6,12,0.5385,0.3684,0.4375
run_20260501_195720_img_0043,86,13,10,3,76,0.7692,0.1163,0.202
run_20260501_195720_img_0044,77,21,17,4,60,0.8095,0.2208,0.3469
run_20260501_195720_img_0045,90,9,7,2,83,0.7778,0.0778,0.1414
run_20260501_195720_img_0046,101,14,13,1,88,0.9286,0.1287,0.2261
run_20260501_195720_img_0047,112,14,11,3,101,0.7857,0.0982,0.1746
run_20260501_195720_img_0048,74,8,8,0,66,1.0,0.1081,0.1951
run_20260501_195720_img_0049,125,7,5,2,120,0.7143,0.04,0.0758
run_20260501_195720_img_0050,109,10,6,4,103,0.6,0.055,0.1008
run_20260501_195720_img_0051,96,9,7,2,89,0.7778,0.0729,0.1333
run_20260501_195720_img_0052,60,20,14,6,46,0.7,0.2333,0.35
run_20260501_195720_img_0053,64,12,10,2,54,0.8333,0.1562,0.2632
run_20260501_195720_img_0054,88,6,4,2,84,0.6667,0.0455,0.0851
run_20260501_195720_img_0055,1,1,1,0,0,1.0,1.0,1.0
run_20260501_195720_img_0056,17,4,3,1,14,0.75,0.1765,0.2857
run_20260501_195720_img_0057,28,4,4,0,24,1.0,0.1429,0.25
run_20260501_195720_img_0058,7,3,3,0,4,1.0,0.4286,0.6
run_20260501_195720_img_0059,8,0,0,0,8,0.0,0.0,0.0
run_20260501_195720_img_0060,4,2,2,0,2,1.0,0.5,0.6667
run_20260501_195720_img_0061,3,1,1,0,2,1.0,0.3333,0.5
run_20260501_195720_img_0062,33,3,2,1,31,0.6667,0.0606,0.1111
run_20260501_195720_img_0063,77,27,24,3,53,0.8889,0.3117,0.4615
run_20260501_195720_img_0064,136,45,38,7,98,0.8444,0.2794,0.4199
run_20260501_195720_img_0065,142,30,26,4,116,0.8667,0.1831,0.3023
run_20260501_195720_img_0066,118,35,25,10,93,0.7143,0.2119,0.3268
run_20260501_195720_img_0067,74,18,14,4,60,0.7778,0.1892,0.3043
run_20260501_195720_img_0068,30,11,7,4,23,0.6364,0.2333,0.3415
run_20260501_195720_img_0069,1,1,1,0,0,1.0,1.0,1.0
run_20260501_195720_img_0070,12,6,5,1,7,0.8333,0.4167,0.5556
run_20260501_195720_img_0071,13,1,1,0,12,1.0,0.0769,0.1429
run_20260501_195720_img_0072,26,7,2,5,24,0.2857,0.0769,0.1212
run_20260501_195720_img_0073,31,15,12,3,19,0.8,0.3871,0.5217
run_20260501_195720_img_0074,12,7,4,3,8,0.5714,0.3333,0.4211
run_20260501_195720_img_0075,61,20,17,3,44,0.85,0.2787,0.4198
run_20260501_195720_img_0076,12,16,5,11,7,0.3125,0.4167,0.3571
run_20260501_195720_img_0077,21,10,9,1,12,0.9,0.4286,0.5806
run_20260501_195720_img_0078,28,17,11,6,17,0.6471,0.3929,0.4889
run_20260501_195720_img_0079,28,7,6,1,22,0.8571,0.2143,0.3429
run_20260501_195720_img_0080,25,9,6,3,19,0.6667,0.24,0.3529
run_20260501_195720_img_0081,14,6,5,1,9,0.8333,0.3571,0.5
run_20260501_195720_img_0082,52,20,12,8,40,0.6,0.2308,0.3333
run_20260501_195720_img_0083,64,18,11,7,53,0.6111,0.1719,0.2683
run_20260501_195720_img_0084,45,14,10,4,35,0.7143,0.2222,0.339
run_20260501_195720_img_0085,20,0,0,0,20,0.0,0.0,0.0
run_20260501_195720_img_0086,19,1,0,1,19,0.0,0.0,0.0
run_20260501_195720_img_0087,26,1,1,0,25,1.0,0.0385,0.0741
run_20260501_195720_img_0088,24,6,5,1,19,0.8333,0.2083,0.3333
run_20260501_195720_img_0089,117,19,18,1,99,0.9474,0.1538,0.2647
run_20260501_195720_img_0090,22,1,1,0,21,1.0,0.0455,0.087
run_20260501_195720_img_0091,10,3,2,1,8,0.6667,0.2,0.3077
run_20260501_195720_img_0092,8,2,2,0,6,1.0,0.25,0.4
run_20260501_195720_img_0093,32,14,9,5,23,0.6429,0.2812,0.3913
run_20260501_195720_img_0094,17,7,5,2,12,0.7143,0.2941,0.4167
run_20260501_195720_img_0095,23,12,7,5,16,0.5833,0.3043,0.4
run_20260501_195720_img_0096,7,2,1,1,6,0.5,0.1429,0.2222
run_20260501_195720_img_0097,20,6,5,1,15,0.8333,0.25,0.3846
run_20260501_195720_img_0098,13,5,3,2,10,0.6,0.2308,0.3333
run_20260501_195720_img_0099,8,0,0,0,8,0.0,0.0,0.0
run_20260501_195720_img_0100,10,3,2,1,8,0.6667,0.2,0.3077
run_20260501_195720_img_0101,10,8,5,3,5,0.625,0.5,0.5556
run_20260501_195720_img_0102,17,8,6,2,11,0.75,0.3529,0.48
run_20260501_195720_img_0103,12,6,4,2,8,0.6667,0.3333,0.4444
run_20260501_195720_img_0104,17,6,5,1,12,0.8333,0.2941,0.4348
run_20260501_195720_img_0105,21,4,4,0,17,1.0,0.1905,0.32
run_20260501_195720_img_0106,42,11,10,1,32,0.9091,0.2381,0.3774
run_20260501_195720_img_0107,26,8,6,2,20,0.75,0.2308,0.3529
run_20260501_195720_img_0108,66,24,17,7,49,0.7083,0.2576,0.3778
run_20260501_195720_img_0109,61,9,7,2,54,0.7778,0.1148,0.2
run_20260501_195720_img_0110,63,15,11,4,52,0.7333,0.1746,0.2821
run_20260501_195720_img_0111,43,14,13,1,30,0.9286,0.3023,0.4561
run_20260501_195720_img_0112,33,12,6,6,27,0.5,0.1818,0.2667
run_20260501_195720_img_0113,0,1,0,1,0,0.0,0.0,0.0
run_20260501_195720_img_0114,31,4,4,0,27,1.0,0.129,0.2286
run_20260501_195720_img_0115,13,3,2,1,11,0.6667,0.1538,0.25
run_20260501_195720_img_0116,24,12,10,2,14,0.8333,0.4167,0.5556
run_20260501_195720_img_0117,8,5,4,1,4,0.8,0.5,0.6154
run_20260501_195720_img_0118,11,5,0,5,11,0.0,0.0,0.0
run_20260501_195720_img_0119,17,6,5,1,12,0.8333,0.2941,0.4348
run_20260501_195720_img_0120,20,13,7,6,13,0.5385,0.35,0.4242
run_20260501_195720_img_0121,15,8,7,1,8,0.875,0.4667,0.6087
run_20260501_195720_img_0122,7,3,3,0,4,1.0,0.4286,0.6
run_20260501_195720_img_0123,5,2,1,1,4,0.5,0.2,0.2857
run_20260501_195720_img_0124,5,2,2,0,3,1.0,0.4,0.5714
run_20260501_195720_img_0125,12,1,1,0,11,1.0,0.0833,0.1538
run_20260501_195720_img_0126,54,3,2,1,52,0.6667,0.037,0.0702
run_20260501_195720_img_0127,36,8,5,3,31,0.625,0.1389,0.2273
run_20260501_195720_img_0128,15,5,2,3,13,0.4,0.1333,0.2
run_20260501_195720_img_0129,25,4,4,0,21,1.0,0.16,0.2759
run_20260501_195720_img_0130,14,0,0,0,14,0.0,0.0,0.0
run_20260501_195720_img_0131,21,1,0,1,21,0.0,0.0,0.0
run_20260501_195720_img_0132,8,3,1,2,7,0.3333,0.125,0.1818
run_20260501_195720_img_0133,39,5,5,0,34,1.0,0.1282,0.2273
run_20260501_195720_img_0134,35,9,4,5,31,0.4444,0.1143,0.1818
run_20260501_195720_img_0135,22,5,2,3,20,0.4,0.0909,0.1481
run_20260501_195720_img_0136,9,7,4,3,5,0.5714,0.4444,0.5
run_20260501_195720_img_0137,5,4,2,2,3,0.5,0.4,0.4444
run_20260501_195720_img_0138,33,23,19,4,14,0.8261,0.5758,0.6786
run_20260501_195720_img_0139,19,13,9,4,10,0.6923,0.4737,0.5625
run_20260501_195720_img_0140,14,7,4,3,10,0.5714,0.2857,0.381
run_20260501_195720_img_0141,17,7,7,0,10,1.0,0.4118,0.5833
run_20260501_195720_img_0142,9,10,8,2,1,0.8,0.8889,0.8421
run_20260501_195720_img_0143,8,8,6,2,2,0.75,0.75,0.75
run_20260501_195720_img_0144,15,10,7,3,8,0.7,0.4667,0.56
run_20260501_195720_img_0145,34,11,11,0,23,1.0,0.3235,0.4889
run_20260501_195720_img_0146,22,5,5,0,17,1.0,0.2273,0.3704
run_20260501_195720_img_0147,4,5,3,2,1,0.6,0.75,0.6667
run_20260501_195720_img_0148,10,1,1,0,9,1.0,0.1,0.1818
run_20260501_195720_img_0149,9,4,3,1,6,0.75,0.3333,0.4615
run_20260501_195720_img_0150,13,7,4,3,9,0.5714,0.3077,0.4
run_20260501_195720_img_0151,31,14,10,4,21,0.7143,0.3226,0.4444
run_20260501_195720_img_0152,40,15,11,4,29,0.7333,0.275,0.4
run_20260501_195720_img_0153,98,12,11,1,87,0.9167,0.1122,0.2
run_20260501_195720_img_0154,52,9,8,1,44,0.8889,0.1538,0.2623
run_20260501_195720_img_0155,12,6,3,3,9,0.5,0.25,0.3333
run_20260501_195720_img_0156,11,1,1,0,10,1.0,0.0909,0.1667
run_20260501_195720_img_0157,15,7,3,4,12,0.4286,0.2,0.2727
run_20260501_195720_img_0158,19,4,2,2,17,0.5,0.1053,0.1739
run_20260501_195720_img_0159,21,5,3,2,18,0.6,0.1429,0.2308
run_20260501_195720_img_0160,23,4,1,3,22,0.25,0.0435,0.0741
run_20260501_195720_img_0161,18,8,2,6,16,0.25,0.1111,0.1538
run_20260501_195720_img_0162,18,4,3,1,15,0.75,0.1667,0.2727
run_20260501_195720_img_0163,13,8,6,2,7,0.75,0.4615,0.5714
run_20260501_195720_img_0164,15,3,2,1,13,0.6667,0.1333,0.2222
run_20260501_195720_img_0165,2,0,0,0,2,0.0,0.0,0.0
run_20260501_195720_img_0166,3,2,1,1,2,0.5,0.3333,0.4
run_20260501_195720_img_0167,22,12,7,5,15,0.5833,0.3182,0.4118
run_20260501_195720_img_0168,18,6,4,2,14,0.6667,0.2222,0.3333
run_20260501_195720_img_0169,14,6,4,2,10,0.6667,0.2857,0.4
run_20260501_195720_img_0170,11,7,4,3,7,0.5714,0.3636,0.4444
run_20260501_195720_img_0171,20,7,7,0,13,1.0,0.35,0.5185
run_20260501_195720_img_0172,30,13,9,4,21,0.6923,0.3,0.4186
run_20260501_195720_img_0173,24,14,12,2,12,0.8571,0.5,0.6316
run_20260501_195720_img_0174,27,15,11,4,16,0.7333,0.4074,0.5238
run_20260501_195720_img_0175,5,0,0,0,5,0.0,0.0,0.0
run_20260501_195720_img_0176,19,1,0,1,19,0.0,0.0,0.0
run_20260501_195720_img_0177,13,4,3,1,10,0.75,0.2308,0.3529
run_20260501_195720_img_0178,38,10,8,2,30,0.8,0.2105,0.3333
run_20260501_195720_img_0179,38,8,5,3,33,0.625,0.1316,0.2174
run_20260501_195720_img_0180,27,3,0,3,27,0.0,0.0,0.0
run_20260501_195720_img_0181,29,3,0,3,29,0.0,0.0,0.0
run_20260501_195720_img_0182,40,21,13,8,27,0.619,0.325,0.4262
run_20260501_195720_img_0183,27,4,3,1,24,0.75,0.1111,0.1935
run_20260501_195720_img_0184,18,8,5,3,13,0.625,0.2778,0.3846
run_20260501_195720_img_0185,54,14,10,4,44,0.7143,0.1852,0.2941
run_20260501_195720_img_0186,85,8,7,1,78,0.875,0.0824,0.1505
run_20260501_195720_img_0187,64,5,5,0,59,1.0,0.0781,0.1449
run_20260501_195720_img_0188,12,5,5,0,7,1.0,0.4167,0.5882
run_20260501_195720_img_0189,108,2,2,0,106,1.0,0.0185,0.0364
run_20260501_195720_img_0190,112,13,9,4,103,0.6923,0.0804,0.144
run_20260501_195720_img_0191,140,35,18,17,122,0.5143,0.1286,0.2057
run_20260501_195720_img_0192,146,25,15,10,131,0.6,0.1027,0.1754
run_20260501_195720_img_0193,43,1,1,0,42,1.0,0.0233,0.0455
run_20260501_195720_img_0194,56,5,5,0,51,1.0,0.0893,0.1639
run_20260501_195720_img_0195,29,9,8,1,21,0.8889,0.2759,0.4211
run_20260501_195720_img_0196,44,20,17,3,27,0.85,0.3864,0.5312
run_20260501_195720_img_0197,40,9,8,1,32,0.8889,0.2,0.3265
run_20260501_195720_img_0198,13,2,2,0,11,1.0,0.1538,0.2667
run_20260501_195720_img_0199,6,2,1,1,5,0.5,0.1667,0.25
run_20260501_195720_img_0200,40,1,1,0,39,1.0,0.025,0.0488
run_20260501_195720_img_0201,22,3,3,0,19,1.0,0.1364,0.24
run_20260501_195720_img_0202,27,12,10,2,17,0.8333,0.3704,0.5128
run_20260501_195720_img_0203,29,7,5,2,24,0.7143,0.1724,0.2778
