image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_192755_img_0001,1,0,0,0,1,0.0,0.0,0.0
run_20260501_192755_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_192755_img_0003,67,15,12,3,55,0.8,0.1791,0.2927
run_20260501_192755_img_0004,27,3,2,1,25,0.6667,0.0741,0.1333
run_20260501_192755_img_0005,38,16,14,2,24,0.875,0.3684,0.5185
run_20260501_192755_img_0006,34,12,8,4,26,0.6667,0.2353,0.3478
run_20260501_192755_img_0007,37,0,0,0,37,0.0,0.0,0.0
run_20260501_192755_img_0008,27,11,7,4,20,0.6364,0.2593,0.3684
run_20260501_192755_img_0009,56,15,14,1,42,0.9333,0.25,0.3944
run_20260501_192755_img_0010,15,7,7,0,8,1.0,0.4667,0.6364
run_20260501_192755_img_0011,46,8,7,1,39,0.875,0.1522,0.2593
run_20260501_192755_img_0012,10,6,4,2,6,0.6667,0.4,0.5
run_20260501_192755_img_0013,66,54,40,14,26,0.7407,0.6061,0.6667
run_20260501_192755_img_0014,266,46,25,21,241,0.5435,0.094,0.1603
run_20260501_192755_img_0015,93,36,24,12,69,0.6667,0.2581,0.3721
run_20260501_192755_img_0016,42,15,14,1,28,0.9333,0.3333,0.4912
run_20260501_192755_img_0017,50,23,15,8,35,0.6522,0.3,0.411
run_20260501_192755_img_0018,42,18,16,2,26,0.8889,0.381,0.5333
run_20260501_192755_img_0019,28,15,15,0,13,1.0,0.5357,0.6977
run_20260501_192755_img_0020,55,18,15,3,40,0.8333,0.2727,0.411
run_20260501_192755_img_0021,119,38,34,4,85,0.8947,0.2857,0.4331
run_20260501_192755_img_0022,73,35,24,11,49,0.6857,0.3288,0.4444
run_20260501_192755_img_0023,91,31,28,3,63,0.9032,0.3077,0.459
run_20260501_192755_img_0024,177,42,38,4,139,0.9048,0.2147,0.347
run_20260501_192755_img_0025,115,42,31,11,84,0.7381,0.2696,0.3949
run_20260501_192755_img_0026,163,38,32,6,131,0.8421,0.1963,0.3184
run_20260501_192755_img_0027,262,30,20,10,242,0.6667,0.0763,0.137
run_20260501_192755_img_0028,64,4,4,0,60,1.0,0.0625,0.1176
run_20260501_192755_img_0029,115,13,11,2,104,0.8462,0.0957,0.1719
run_20260501_192755_img_0030,99,22,14,8,85,0.6364,0.1414,0.2314
run_20260501_192755_img_0031,114,0,0,0,114,0.0,0.0,0.0
run_20260501_192755_img_0032,80,0,0,0,80,0.0,0.0,0.0
run_20260501_192755_img_0033,90,15,0,15,90,0.0,0.0,0.0
run_20260501_192755_img_0034,104,3,0,3,104,0.0,0.0,0.0
run_20260501_192755_img_0035,66,16,1,15,65,0.0625,0.0152,0.0244
run_20260501_192755_img_0036,82,12,0,12,82,0.0,0.0,0.0
run_20260501_192755_img_0037,80,0,0,0,80,0.0,0.0,0.0
run_20260501_192755_img_0038,73,11,0,11,73,0.0,0.0,0.0
run_20260501_192755_img_0039,107,15,0,15,107,0.0,0.0,0.0
run_20260501_192755_img_0040,138,7,0,7,138,0.0,0.0,0.0
