image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_154702_img_0001,1,0,0,0,1,0.0,0.0,0.0
run_20260501_154702_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_154702_img_0003,67,16,15,1,52,0.9375,0.2239,0.3614
run_20260501_154702_img_0004,27,3,2,1,25,0.6667,0.0741,0.1333
run_20260501_154702_img_0005,38,12,8,4,30,0.6667,0.2105,0.32
run_20260501_154702_img_0006,34,10,7,3,27,0.7,0.2059,0.3182
run_20260501_154702_img_0007,37,1,0,1,37,0.0,0.0,0.0
run_20260501_154702_img_0008,27,10,7,3,20,0.7,0.2593,0.3784
run_20260501_154702_img_0009,56,14,12,2,44,0.8571,0.2143,0.3429
run_20260501_154702_img_0010,15,8,8,0,7,1.0,0.5333,0.6957
run_20260501_154702_img_0011,46,8,7,1,39,0.875,0.1522,0.2593
run_20260501_154702_img_0012,10,7,4,3,6,0.5714,0.4,0.4706
run_20260501_154702_img_0013,66,52,37,15,29,0.7115,0.5606,0.6271
run_20260501_154702_img_0014,266,43,29,14,237,0.6744,0.109,0.1877
run_20260501_154702_img_0015,93,29,26,3,67,0.8966,0.2796,0.4262
run_20260501_154702_img_0016,42,14,13,1,29,0.9286,0.3095,0.4643
run_20260501_154702_img_0017,50,24,14,10,36,0.5833,0.28,0.3784
run_20260501_154702_img_0018,42,20,18,2,24,0.9,0.4286,0.5806
run_20260501_154702_img_0019,28,12,12,0,16,1.0,0.4286,0.6
run_20260501_154702_img_0020,55,16,14,2,41,0.875,0.2545,0.3944
run_20260501_154702_img_0021,119,39,34,5,85,0.8718,0.2857,0.4304
run_20260501_154702_img_0022,73,29,23,6,50,0.7931,0.3151,0.451
run_20260501_154702_img_0023,91,28,25,3,66,0.8929,0.2747,0.4202
run_20260501_154702_img_0024,177,36,31,5,146,0.8611,0.1751,0.2911
run_20260501_154702_img_0025,115,38,33,5,82,0.8684,0.287,0.4314
run_20260501_154702_img_0026,163,42,35,7,128,0.8333,0.2147,0.3415
run_20260501_154702_img_0027,262,48,32,16,230,0.6667,0.1221,0.2065
run_20260501_154702_img_0028,64,9,9,0,55,1.0,0.1406,0.2466
run_20260501_154702_img_0029,115,16,13,3,102,0.8125,0.113,0.1985
run_20260501_154702_img_0030,99,23,16,7,83,0.6957,0.1616,0.2623
run_20260501_154702_img_0031,114,22,16,6,98,0.7273,0.1404,0.2353
run_20260501_154702_img_0032,80,14,11,3,69,0.7857,0.1375,0.234
run_20260501_154702_img_0033,90,13,11,2,79,0.8462,0.1222,0.2136
run_20260501_154702_img_0034,104,11,10,1,94,0.9091,0.0962,0.1739
run_20260501_154702_img_0035,66,6,3,3,63,0.5,0.0455,0.0833
run_20260501_154702_img_0036,82,11,8,3,74,0.7273,0.0976,0.172
run_20260501_154702_img_0037,80,20,17,3,63,0.85,0.2125,0.34
run_20260501_154702_img_0038,73,16,10,6,63,0.625,0.137,0.2247
run_20260501_154702_img_0039,107,20,17,3,90,0.85,0.1589,0.2677
run_20260501_154702_img_0040,138,14,10,4,128,0.7143,0.0725,0.1316
run_20260501_154702_img_0041,77,22,15,7,62,0.6818,0.1948,0.303
run_20260501_154702_img_0042,19,11,6,5,13,0.5455,0.3158,0.4
run_20260501_154702_img_0043,86,14,11,3,75,0.7857,0.1279,0.22
run_20260501_154702_img_0044,77,18,16,2,61,0.8889,0.2078,0.3368
run_20260501_154702_img_0045,90,11,8,3,82,0.7273,0.0889,0.1584
run_20260501_154702_img_0046,101,12,9,3,92,0.75,0.0891,0.1593
run_20260501_154702_img_0047,112,17,13,4,99,0.7647,0.1161,0.2016
run_20260501_154702_img_0048,74,9,8,1,66,0.8889,0.1081,0.1928
run_20260501_154702_img_0049,125,14,11,3,114,0.7857,0.088,0.1583
run_20260501_154702_img_0050,109,10,5,5,104,0.5,0.0459,0.084
__aggregate__,4087,892,699,193,3388,0.7836,0.171,0.2808
