image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_154702_img_0001,1,1,0,1,1,0.0,0.0,0.0
run_20260501_154702_img_0002,5,0,0,0,5,0.0,0.0,0.0
run_20260501_154702_img_0003,67,21,18,3,49,0.8571,0.2687,0.4091
run_20260501_154702_img_0004,27,9,7,2,20,0.7778,0.2593,0.3889
run_20260501_154702_img_0005,38,24,14,10,24,0.5833,0.3684,0.4516
run_20260501_154702_img_0006,34,16,8,8,26,0.5,0.2353,0.32
run_20260501_154702_img_0007,37,2,1,1,36,0.5,0.027,0.0513
run_20260501_154702_img_0008,27,18,11,7,16,0.6111,0.4074,0.4889
run_20260501_154702_img_0009,56,22,17,5,39,0.7727,0.3036,0.4359
run_20260501_154702_img_0010,15,10,9,1,6,0.9,0.6,0.72
run_20260501_154702_img_0011,46,15,11,4,35,0.7333,0.2391,0.3607
run_20260501_154702_img_0012,10,8,4,4,6,0.5,0.4,0.4444
run_20260501_154702_img_0013,66,79,46,33,20,0.5823,0.697,0.6345
run_20260501_154702_img_0014,266,72,42,30,224,0.5833,0.1579,0.2485
run_20260501_154702_img_0015,93,44,37,7,56,0.8409,0.3978,0.5401
run_20260501_154702_img_0016,42,22,20,2,22,0.9091,0.4762,0.625
run_20260501_154702_img_0017,50,36,20,16,30,0.5556,0.4,0.4651
run_20260501_154702_img_0018,42,30,25,5,17,0.8333,0.5952,0.6944
run_20260501_154702_img_0019,28,21,20,1,8,0.9524,0.7143,0.8163
run_20260501_154702_img_0020,55,27,23,4,32,0.8519,0.4182,0.561
run_20260501_154702_img_0021,119,56,49,7,70,0.875,0.4118,0.56
run_20260501_154702_img_0022,73,38,27,11,46,0.7105,0.3699,0.4865
run_20260501_154702_img_0023,91,37,33,4,58,0.8919,0.3626,0.5156
run_20260501_154702_img_0024,177,55,47,8,130,0.8545,0.2655,0.4052
run_20260501_154702_img_0025,115,46,39,7,76,0.8478,0.3391,0.4845
run_20260501_154702_img_0026,163,54,45,9,118,0.8333,0.2761,0.4147
run_20260501_154702_img_0027,262,113,58,55,204,0.5133,0.2214,0.3093
run_20260501_154702_img_0028,64,13,11,2,53,0.8462,0.1719,0.2857
run_20260501_154702_img_0029,115,26,20,6,95,0.7692,0.1739,0.2837
run_20260501_154702_img_0030,99,40,21,19,78,0.525,0.2121,0.3022
run_20260501_154702_img_0031,114,46,23,23,91,0.5,0.2018,0.2875
run_20260501_154702_img_0032,80,33,23,10,57,0.697,0.2875,0.4071
run_20260501_154702_img_0033,90,29,19,10,71,0.6552,0.2111,0.3193
run_20260501_154702_img_0034,104,18,14,4,90,0.7778,0.1346,0.2295
run_20260501_154702_img_0035,66,17,8,9,58,0.4706,0.1212,0.1928
run_20260501_154702_img_0036,82,18,14,4,68,0.7778,0.1707,0.28
run_20260501_154702_img_0037,80,25,20,5,60,0.8,0.25,0.381
run_20260501_154702_img_0038,73,27,16,11,57,0.5926,0.2192,0.32
run_20260501_154702_img_0039,107,45,28,17,79,0.6222,0.2617,0.3684
run_20260501_154702_img_0040,138,27,18,9,120,0.6667,0.1304,0.2182
run_20260501_154702_img_0041,77,42,19,23,58,0.4524,0.2468,0.3193
run_20260501_154702_img_0042,19,26,9,17,10,0.3462,0.4737,0.4
run_20260501_154702_img_0043,86,28,20,8,66,0.7143,0.2326,0.3509
run_20260501_154702_img_0044,77,29,24,5,53,0.8276,0.3117,0.4528
run_20260501_154702_img_0045,90,20,14,6,76,0.7,0.1556,0.2545
run_20260501_154702_img_0046,101,22,16,6,85,0.7273,0.1584,0.2602
run_20260501_154702_img_0047,112,25,20,5,92,0.8,0.1786,0.292
run_20260501_154702_img_0048,74,19,12,7,62,0.6316,0.1622,0.2581
run_20260501_154702_img_0049,125,34,21,13,104,0.6176,0.168,0.2642
run_20260501_154702_img_0050,109,22,11,11,98,0.5,0.1009,0.1679
__aggregate__,4087,1507,1032,475,3055,0.6848,0.2525,0.369
