image_id,preprocess_ms,inference_latency_ms,total_latency_ms
run_20260501_171023_img_0001,422.398,1866.741,2289.139
run_20260501_171023_img_0002,180.672,1805.823,1986.495
run_20260501_171023_img_0003,159.566,1770.797,1930.363
run_20260501_171023_img_0004,137.848,1770.331,1908.179
run_20260501_171023_img_0005,147.548,1774.886,1922.434
run_20260501_171023_img_0006,139.789,1768.975,1908.764
run_20260501_171023_img_0007,142.236,1800.39,1942.626
run_20260501_171023_img_0008,170.552,1776.477,1947.029
run_20260501_171023_img_0009,141.311,1770.391,1911.702
run_20260501_171023_img_0010,143.433,1771.27,1914.703
run_20260501_171023_img_0011,155.186,1769.515,1924.701
run_20260501_171023_img_0012,141.015,1770.487,1911.502
run_20260501_171023_img_0013,148.468,1780.816,1929.284
run_20260501_171023_img_0014,113.742,1681.408,1795.15
run_20260501_171023_img_0015,115.388,1788.998,1904.386
run_20260501_171023_img_0016,144.026,1774.115,1918.14
run_20260501_171023_img_0017,124.518,1772.637,1897.154
run_20260501_171023_img_0018,124.526,1777.965,1902.491
run_20260501_171023_img_0019,124.219,1778.106,1902.325
run_20260501_171023_img_0020,122.25,1780.703,1902.952
run_20260501_171023_img_0021,118.772,1775.777,1894.549
run_20260501_171023_img_0022,121.218,1682.497,1803.715
run_20260501_171023_img_0023,118.167,1770.202,1888.369
run_20260501_171023_img_0024,120.202,1771.192,1891.394
run_20260501_171023_img_0025,120.674,1769.164,1889.837
run_20260501_171023_img_0026,126.285,1771.585,1897.87
run_20260501_171023_img_0027,120.94,1777.082,1898.022
run_20260501_171023_img_0028,179.721,1774.498,1954.218
run_20260501_171023_img_0029,205.612,1772.085,1977.697
run_20260501_171023_img_0030,182.187,1769.945,1952.132
run_20260501_171023_img_0031,191.183,1777.703,1968.886
run_20260501_171023_img_0032,206.347,1772.444,1978.791
run_20260501_171023_img_0033,182.637,1775.299,1957.936
run_20260501_171023_img_0034,201.282,1768.831,1970.113
run_20260501_171023_img_0035,179.994,1771.91,1951.904
run_20260501_171023_img_0036,188.813,1777.836,1966.649
run_20260501_171023_img_0037,206.018,1785.724,1991.742
run_20260501_171023_img_0038,181.342,1774.513,1955.855
run_20260501_171023_img_0039,204.501,1767.317,1971.818
run_20260501_171023_img_0040,183.007,1773.502,1956.508
run_20260501_171023_img_0041,193.388,1777.074,1970.462
run_20260501_171023_img_0042,197.435,1771.519,1968.954
run_20260501_171023_img_0043,182.332,1770.152,1952.484
run_20260501_171023_img_0044,200.34,1767.037,1967.377
run_20260501_171023_img_0045,180.705,1688.108,1868.813
run_20260501_171023_img_0046,194.52,1773.742,1968.262
run_20260501_171023_img_0047,206.764,1769.997,1976.761
run_20260501_171023_img_0048,179.743,1772.383,1952.126
